feature,imp
we_h,0.011538461538461586
elo_diff,0.004158004158004181
elo_ratio,0.004054054054054101
gf_a,0.0020790020790021346
conf_diff,0.0016632016632016854
elo_a,0.0015592515592515843
wc_a,0.0013513513513514041
form_diff,0.0005197505197505281
conf_prod,0.0004158004158004047
conf_a,0.0004158004158004047
h2h,0.00031185031185034797
wc_diff,0.00031185031185032575
draw_risk,0.00020790020790020236
form_h3,0.00010395010395012339
draw_a,0.0
gd_a,-0.00010395010395007898
form_a,-0.00010395010395010118
streak_diff,-0.0003118503118503035
streak_h,-0.0004158004158004047
form_h,-0.0005197505197505059
draw_h,-0.0005197505197505059
underdog,-0.0010395010395009897
