,xgf_avg,xga_avg,xgd_avg,ovp_avg,goals_avg,matches_wc,xgd_cumrank,xgf_var,xga_var,goals_var,clean_sheets,scoring_rate
Spain,1.9875,0.26249999999999996,1.725,0.012500000000000039,2.0,4.0,1.6,0.43076875,0.009218750000000001,2.5,1.0,0.75
Canada,2.26,0.6025,1.6574999999999998,-0.009999999999999953,2.25,4.0,1.43,2.08865,0.19811875,4.6875,0.5,1.0
Argentina,2.095,0.5925,1.5025000000000002,0.655,2.75,4.0,1.05,0.2795250000000001,0.03986875000000001,0.1875,0.25,1.0
Brazil,2.2425,0.7799999999999999,1.4625000000000004,0.007500000000000007,2.25,4.0,0.24,1.6703187499999999,0.3225,0.6875,0.5,1.0
Belgium,2.2225,0.7875000000000001,1.435,0.02749999999999997,2.25,4.0,1.61,0.7502687499999998,0.14316875,3.6875,0.25,0.75
England,1.9200000000000002,0.5325,1.3875000000000002,0.08000000000000002,2.0,4.0,0.61,0.3832,0.019218749999999993,2.0,0.5,0.75
France,2.21,0.8800000000000001,1.3299999999999998,1.04,3.25,4.0,1.07,0.40774999999999995,0.2254,0.1875,0.5,1.0
Switzerland,2.0275000000000003,0.7875,1.2400000000000002,0.22249999999999992,2.25,4.0,1.26,0.6050687500000002,0.28886875,1.1875,0.25,1.0
Germany,2.0625,0.83,1.2325,0.6875000000000002,2.75,4.0,1.29,1.7518687499999999,0.17254999999999998,6.1875,0.0,1.0
Morocco,1.7899999999999998,0.6599999999999999,1.13,-0.039999999999999925,1.75,4.0,1.13,0.7591499999999998,0.13095,1.6875,0.25,1.0
Turkey,2.07,1.05,1.0199999999999998,-1.07,1.0,3.0,0.84,0.32239999999999996,0.5438,2.0,0.0,0.3333333333333333
Colombia,1.4575,0.6574999999999999,0.8000000000000002,-0.20750000000000002,1.25,4.0,0.67,0.07611875,0.10081874999999997,1.1875,0.75,0.75
Norway,2.0875,1.3325,0.7549999999999999,0.41250000000000003,2.5,4.0,0.79,0.08766874999999996,0.12006875,1.25,0.0,1.0
Mexico,1.1824999999999999,0.495,0.6874999999999999,0.8175000000000001,2.0,4.0,0.81,0.23296875,0.071075,0.5,1.0,1.0
Ecuador,1.525,0.9650000000000001,0.5599999999999998,-1.025,0.5,4.0,0.85,0.8090749999999999,0.213225,0.75,0.25,0.25
Portugal,1.4175,0.875,0.5425,0.5824999999999999,2.0,4.0,-0.43,0.59431875,0.24232499999999996,3.5,0.5,0.75
United States,1.5725,1.0325,0.54,0.9275,2.5,4.0,0.31,0.14536875,0.9458187499999999,0.75,0.5,1.0
Netherlands,1.37,0.9,0.4700000000000001,1.1300000000000001,2.5,4.0,1.01,0.84825,0.10424999999999998,2.75,0.0,1.0
Uruguay,1.3533333333333333,0.91,0.44333333333333325,-0.3533333333333333,1.0,3.0,0.0,0.7664888888888889,0.0032666666666666664,0.6666666666666666,0.0,0.6666666666666666
South Korea,1.1766666666666667,0.7966666666666667,0.38,-0.51,0.6666666666666666,3.0,0.14,0.23602222222222233,0.06415555555555558,0.888888888888889,0.0,0.3333333333333333
Japan,1.065,0.79,0.2749999999999999,0.685,1.75,4.0,0.99,0.5292749999999999,0.36124999999999996,1.6875,0.25,1.0
Senegal,1.6175,1.5325000000000002,0.08499999999999974,0.8825000000000001,2.5,4.0,0.39,0.8096187499999998,0.66236875,2.25,0.25,1.0
Iran,1.3633333333333333,1.29,0.07333333333333325,-0.3633333333333333,1.0,3.0,0.07,0.3130888888888889,0.1516666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666
Ivory Coast,1.3925,1.3599999999999999,0.032500000000000195,-0.14250000000000002,1.25,4.0,-0.05,0.030068749999999984,0.39125,0.1875,0.5,1.0
